id,name,tax_payer_company/id,tax_payer_partner/id,withholding_calc_id/id,withholding_id/id,withholding_cate_product/id
R128,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R129,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R130,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R131,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R132,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R133,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R134,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R135,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R136,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R137,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_01,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R138,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R139,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R140,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R141,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_01,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R142,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R143,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R144,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R145,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R146,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R147,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R148,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R149,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R150,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R151,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R152,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R153,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R154,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R155,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R156,RETENCION 1% Renta Compra 343,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w18,withholding_odoo.4,withholding_odoo.category_19
R157,RETENCION 8% Renta Compra 320,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w19,withholding_odoo.4,withholding_odoo.category_8
R158,RETENCION 8% Renta Compra 320,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w19,withholding_odoo.4,withholding_odoo.category_8
